starting_timestamp,prover,threads,memory_limit,bandwidth_limit,num_variables,run_time
2024-10-08 18:16:29,gemini,2,500M,,5,40191
2024-10-08 18:16:29,gemini,2,500M,,6,51617
2024-10-08 18:16:29,gemini,2,500M,,7,78889
2024-10-08 18:16:29,gemini,2,500M,,8,122839
2024-10-08 18:16:29,gemini,2,500M,,9,201533
2024-10-08 18:16:29,gemini,2,500M,,10,351743
2024-10-08 18:16:30,plonky2,2,500M,,2,30331
2024-10-08 18:16:30,plonky2,2,500M,,4,28126
2024-10-08 18:16:30,plonky2,2,500M,,7,54587
2024-10-08 18:16:30,plonky2,2,500M,,13,40979
2024-10-08 18:16:30,plonky2,2,500M,,26,27437
2024-10-08 18:16:30,plonky2,2,500M,,52,21758
2024-10-08 18:16:30,halo2,2,500M,,5,9196
2024-10-08 18:16:30,halo2,2,500M,,6,12709
2024-10-08 18:16:30,halo2,2,500M,,7,19260
2024-10-08 18:16:30,halo2,2,500M,,8,29032
2024-10-08 18:16:30,halo2,2,500M,,9,49343
2024-10-08 18:16:30,halo2,2,500M,,10,83919
2024-10-08 18:16:31,scribe,4,500M,,5,68779
2024-10-08 18:16:31,scribe,4,500M,,6,82045
2024-10-08 18:16:31,scribe,4,500M,,7,111029
2024-10-08 18:16:31,scribe,4,500M,,8,90721
2024-10-08 18:16:31,scribe,4,500M,,9,88613
2024-10-08 18:16:31,scribe,4,500M,,10,103221
2024-10-08 18:16:31,hp,4,500M,,5,6222
2024-10-08 18:16:31,hp,4,500M,,6,9995
2024-10-08 18:16:31,hp,4,500M,,7,11044
2024-10-08 18:16:31,hp,4,500M,,8,15738
2024-10-08 18:16:31,hp,4,500M,,9,24446
2024-10-08 18:16:31,hp,4,500M,,10,90715
2024-10-08 18:16:31,gemini,4,500M,,5,30891
2024-10-08 18:16:31,gemini,4,500M,,6,35703
2024-10-08 18:16:31,gemini,4,500M,,7,53462
2024-10-08 18:16:31,gemini,4,500M,,8,78515
2024-10-08 18:16:31,gemini,4,500M,,9,124593
2024-10-08 18:16:31,gemini,4,500M,,10,216644
2024-10-08 18:16:32,plonky2,4,500M,,2,24148
2024-10-08 18:16:32,plonky2,4,500M,,4,5444
2024-10-08 18:16:32,plonky2,4,500M,,7,51272
2024-10-08 18:16:32,plonky2,4,500M,,13,6914
2024-10-08 18:16:32,plonky2,4,500M,,26,24065
2024-10-08 18:16:32,plonky2,4,500M,,52,28516
